file.hash.256,file.hash.md5,ip.port,url.domain,url.original
,,"""77.90.22.45:5552""","""paknavy.jmicc.xyz""","""http://president-gov-lk.donwloaded.net/A4884A53/FILE.rtf"""
,,"""147.45.47.69:4433""","""paknavy.paknavy.live""","""http://promotionlist.comsats-net.com:443/5756/1/8887/2/0/0/0/m/files-3d1dff0f/file.rtf"""
,,"""3.109.51.37:443""","""passagensv.sslblindado.com""","""http://promotionlist.comsats-net.com/5756/1/8887/2/0/0/0/m/files-3d1dff0f/file.rtf"""
,,"""74.249.192.132:443""","""pmd.paknavy-gov.com""","""http://president-gov-ik.donwloaded.net/a4884a53/file.rtf"""
,,"""47.236.0.82:443""","""pnwc.bahariafoundation.live""","""http://president-gov-lk.donwloaded.net/a4884a53/file.rtf"""
,,"""75.134.200.134:9898""","""pnwc.bahriafoundation.live""","""http://paknavy.edu-cx.org/2862/1/35022/2/0/0/0/m/files-5c23f212/file.rtf"""
,,"""38.147.187.13:8088""","""pnwc.bol-north.com""","""http://paknavy.jmicc.xyz/5627/1/4367/2/0/0/0/m/files-9e0912cc/file.rtf"""
,,"""104.21.35.110:443""","""pqa.gov.pakmarines.com""","""http://paknavy.comsats.xyz/5552/1/5037/2/0/0/0/m/files-1b5c7556/file.rtf"""
,,"""92.112.180.157:7777""","""president-gov-ik.donwloaded.net""","""http://paknavy.defpak.org/5973/1/8665/2/0/0/0/m/files-f8fd19ec/file.rtf"""
,,"""103.99.133.77:443""","""president-gov-lk.donwloaded.net""","""http://opmcm-gov-np.fia-gov.net/37841677null/file.rtf"""
,,"""148.135.113.78:443""","""promotionlist.com""","""http://paknavy-gov-pk.downld.net/14578/1/6277/2/0/0/0/m/files-75dc2b1e/file.rtf"""
,,"""103.15.186.10:443""","""reports.dgps-govtpk.com""","""http://paknavy-gov-pkp.downld.net/14578/1/6277/2/0/0/0/m/files-75dc2b1e/file.rtf"""
,,"""38.49.56.2:56004""","""mailnavymilbd.govpk.net""","""http://nima.ppra.live/5133/1/3272/2/0/0/0/m/files-41b31573/file.rtf"""
,,"""38.49.56.2:56005""","""mailoutlookcom.cvix.live""","""http://opmcm-gov-np.fia-gov.net/37841677/file.rtf"""
,,"""38.49.56.2:56003""","""mailrta.mfagov.org""","""http://navy-lk.direct888.net/report/29476965/file.rtf"""
,,"""185.194.236.52:443""","""maritimepakistan.kpt-pk.net""","""http://navy-mil-bd.jmicc.xyz/5625/1/8145/2/0/0/0/m/files-b11074b7/file.rtf"""
,,"""134.60.76.192:443""","""ministryofforeignaffairs-mofa-gov-pk.dytt88.org""","""http://msacn.ntcpk.net/6825/report/7176/file.rtf"""
,,"""185.194.236.52:80""","""mod-gov-bd.dowmload.co""","""http://mtss.bol-south.org/5974/1/8682/2/0/0/0/m/files-b2dff0ca/file.rtf"""
,,"""134.60.76.192:80""","""moemaldives.pmd-office.com""","""http://moma.comsats-net.com/5753/1/4375/2/0/0/0/m/files-8062311a/file.rtf"""
,,"""141.138.136.102:443""","""mofa-gov-np.dirctt88.co""","""http://moma.comsats-net.com/5753/1/4376/2/0/0/0/m/files-f85db74c/file.rtf"""
,,"""141.138.136.102:80""","""mofa-gov-np.dirctt888.info""","""http://moma.comsats-net.com/5753/1/4372/2/0/0/0/m/files-d2e0a1dc/file.rtf"""
,,"""129.187.125.15:443""","""mofa-gov-np.fia-gob.net""","""http://moma.comsats-net.com/5753/1/4373/2/0/0/0/m/files-6eee3f68/file.rtf"""
,,"""129.187.125.15:80""","""mofa-gov-np.fia-gov.net""","""http://moma.comsats-net.com/5753/1/4374/2/0/0/0/m/files-2fe05aad/file.rtf"""
,,"""136.144.176.192:80""","""mofa-gov-pk.directt888.com""","""http://moma.comsats-net.com/5753/1/4370/2/0/0/0/m/files-e05c563f/file.rtf"""
,,"""136.144.176.192:443""","""mofa-gov-pk.donwloaded.com""","""http://moma.comsats-net.com/5753/1/4371/2/0/0/0/m/files-b62d382f/file.rtf"""
,,"""62.128.222.130:81""","""mofa-gov-pk.dowmload.info""","""http://moma.comsats-net.com/5753/1/4368/2/0/0/0/m/files-e5f0d8da/file.rtf"""
,,"""62.128.222.130:443""","""mofa-gov-pk.download.info""","""http://moma.comsats-net.com/5753/1/4369/2/0/0/0/m/files-4afe6b27/file.rtf"""
,,"""168.119.49.202:443""","""mofa-gov-sa.direct888.net""","""http://moma.comsats-net.com:443/5753/1/4371/2/0/0/0/m/files-b62d382f/file.rtf"""
,,"""62.128.222.130:80""","""mofa-gov.interior-pk.org""","""http://moma.comsats-net.com:443/5753/1/4373/2/0/0/0/m/files-6eee3f68/file.rtf"""
,,"""168.119.49.202:80""","""mofa.iugur.live""","""http://moma.comsats-net.com/5753/1/4367/2/0/0/0/m/files-0b066736/file.rtf"""
,,"""142.202.82.250:9000""","""mofabn.ksewpk.com""","""http://moitt-gov-pk.fia-gov.net/659949null/file.rtf"""
